FBtr0252193	TAG	47
FBtr0416236	TAA	18
FBtr0420590	TAA	18
FBtr0416105	TAA	18
FBtr0416726	TAA	14
FBtr0246614	TAA	43
FBtr0415923	TAG	159
FBtr0250882	TAG	31
FBtr0250874	TAA	38
FBtr0416756	TGA	17
FBtr0420199	TAG	23
FBtr0243719	TGA	57
FBtr0419856	TAG	11
FBtr0243717	TAG	236
FBtr0419385	TAA	27
FBtr0243715	TAA	15
FBtr0243714	TAA	40
FBtr0252018	TAA	37
FBtr0418891	TGA	160
FBtr0418377	TGA	44
FBtr0248215	TAA	27
FBtr0248218	TGA	30
FBtr0419065	TAA	20
FBtr0420543	TAA	20
FBtr0248221	TAA	20
FBtr0417015	TAA	20
FBtr0420232	TAA	112
FBtr0241335	TAA	112
FBtr0243934	TAA	408
FBtr0420023	TGA	350
FBtr0243932	TAG	30
FBtr0243939	TAA	17
FBtr0419790	TAG	296
FBtr0416481	TAG	287
FBtr0243937	TGA	102
FBtr0416164	TAA	25
FBtr0243941	TAA	557
FBtr0251215	TAA	30
FBtr0251988	TAA	73
FBtr0244019	TAA	3
FBtr0240809	TAA	32
FBtr0419025	TAG	124
FBtr0242859	TGA	71
FBtr0242851	TAA	50
FBtr0420476	TAA	23
FBtr0242853	TAA	23
FBtr0246394	TAA	59
FBtr0246393	TAA	138
FBtr0246392	TAG	2
FBtr0246397	TAA	39
FBtr0242998	TAG	60
FBtr0247392	TGA	138
FBtr0244574	TAA	11
FBtr0244569	TAA	94
FBtr0244572	TAA	448
FBtr0244571	TAG	175
FBtr0244566	TGA	40
FBtr0420843	TAG	33
FBtr0253383	TAG	67
FBtr0418580	TAA	52
FBtr0242994	TAA	52
FBtr0242187	TAA	4
FBtr0241218	TAA	85
FBtr0255523	TGA	203
FBtr0420642	TGA	202
FBtr0241733	TAA	152
FBtr0416951	TAA	339
FBtr0255038	TAG	349
FBtr0241732	TGA	90
FBtr0245937	TGA	65
FBtr0245936	TGA	24
FBtr0415834	TGA	76
FBtr0419655	TAA	135
FBtr0246215	TAA	63
FBtr0246214	TGA	64
FBtr0241219	TAG	55
FBtr0417674	TAA	1
FBtr0417986	TAA	180
FBtr0420266	TGA	85
FBtr0253379	TAA	5
FBtr0243987	TAA	114
FBtr0241216	TAG	164
FBtr0250204	TAG	13
FBtr0415850	TAG	13
FBtr0418853	TAA	40
FBtr0253423	TAA	40
FBtr0419570	TAA	6
FBtr0255280	TAA	35
FBtr0242366	TAA	30
FBtr0249350	TAG	116
FBtr0419841	TGA	77
FBtr0415503	TAA	43
FBtr0416841	TAG	15
FBtr0252750	TAG	11
FBtr0252751	TGA	21
FBtr0252748	TAA	3
FBtr0252749	TAG	136
FBtr0417710	TAA	13
FBtr0420732	TAA	159
FBtr0416068	TAA	9
FBtr0416591	TAA	9
FBtr0249343	TAA	318
FBtr0241223	TAA	51
FBtr0244811	TAA	12
FBtr0244807	TAA	18
FBtr0415512	TAG	38
FBtr0243469	TGA	13
FBtr0419550	TGA	429
FBtr0415829	TGA	23
FBtr0250219	TAA	88
FBtr0418958	TAG	90
FBtr0250218	TAG	38
FBtr0418964	TAA	101
FBtr0250216	TAA	101
FBtr0250213	TGA	118
FBtr0250214	TAA	91
FBtr0417930	TGA	85
FBtr0255241	TGA	85
FBtr0245357	TAA	373
FBtr0250688	TAG	168
FBtr0417084	TAA	1
FBtr0420210	TAA	99
FBtr0420475	TAA	99
FBtr0253712	TAA	99
FBtr0253711	TAA	44
FBtr0253710	TAA	30
FBtr0420143	TAA	66
FBtr0250693	TAA	168
FBtr0416019	TGA	6
FBtr0253718	TAA	105
FBtr0253717	TAG	195
FBtr0252863	TGA	15
FBtr0421590	TAA	32
FBtr0246768	TGA	110
FBtr0416960	TGA	110
FBtr0418253	TGA	110
FBtr0421149	TAA	296
FBtr0252617	TAA	19
FBtr0252616	TAG	116
FBtr0252622	TAA	16
FBtr0241551	TAA	31
FBtr0241552	TAA	58
FBtr0241554	TAA	349
FBtr0241557	TAG	13
FBtr0419619	TAA	30
FBtr0416350	TAA	670
FBtr0418585	TAA	670
FBtr0242535	TAA	122
FBtr0421726	TAA	667
FBtr0419748	TAA	260
FBtr0421238	TAA	6
FBtr0419528	TGA	101
FBtr0250483	TAG	95
FBtr0418839	TAA	211
FBtr0252900	TAA	211
FBtr0415521	TAA	211
FBtr0417475	TAA	211
FBtr0250484	TGA	26
FBtr0251735	TAA	18
FBtr0420087	TGA	176
FBtr0251736	TGA	176
FBtr0251733	TAA	129
FBtr0255273	TAA	25
FBtr0251729	TAG	202
FBtr0251730	TGA	121
FBtr0417435	TAA	76
FBtr0255337	TAA	76
FBtr0255335	TAG	117
FBtr0255336	TAG	105
FBtr0421285	TAG	25
FBtr0255331	TAA	237
FBtr0419415	TAA	3
FBtr0421451	TAA	8
FBtr0418216	TAA	8
FBtr0254828	TAA	37
FBtr0255339	TAA	33
FBtr0255340	TAG	10
FBtr0249660	TGA	20
